Title,Company,Location,Salary,Job Type,Experience Level,Recruiter Status,Deadline,URL,Scraped At
AWS Senior Security Engineer,PT Focus Solusi Infotama,"North Jakarta, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,,Rekruter terakhir aktif 3 days ago,Apply before 22 Aug,https://www.kalibrr.com/id-ID/c/focusfolusiinfotamapt/jobs/268898/aws-senior-security-engineer,2026-07-10 23:36:04
Branch Manager Development Program,PT. Sinar Mitra Sepadan Finance (SMS Finance),"South Jakarta, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,,Rekruter terakhir aktif 2 days ago,Apply before 31 Jul,https://www.kalibrr.com/id-ID/c/pt-sinar-mitra-sepadan-finance-smsfinance/jobs/269140/branch-manager-development-program-2,2026-07-10 23:36:04
head of area,PT Global Enak Nikmat,"West Jakarta, Indonesia",Gaji Tidak Diumumkan,Kontrak,,Rekruter terakhir aktif 3 days ago,Apply before 20 Jul,https://www.kalibrr.com/id-ID/c/pt-global-enak-nikmat/jobs/269511/head-of-area,2026-07-10 23:36:04
Clinical Marketing,PT. Diastika Biotekindo Tbk,"East Jakarta, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,,Rekruter terakhir aktif 3 days ago,Apply before 16 Aug,https://www.kalibrr.com/id-ID/c/pt-diastika-biotekindo-tbk/jobs/267399/clinical-marketing,2026-07-10 23:36:04
Head Chef,PT GARDA SUPLAI UTAMA,"Bekasi, Indonesia",Gaji Tidak Diumumkan,Kontrak,Lulusan Baru / Junior,Rekruter terakhir aktif 2 days ago,Apply before 12 Jul,https://www.kalibrr.com/id-ID/c/pt-garda-suplai-utama/jobs/268299/head-chef,2026-07-10 23:36:04
Site Manager,Mobius Digital,"Central Jakarta, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,Mid-Senior Level Manager,Rekruter terakhir aktif a day ago,Apply before 29 Jul,https://www.kalibrr.com/id-ID/c/mobius-digital/jobs/269614/site-manager,2026-07-10 23:36:04
Multi Collector Agent,PT Bank SMBC Indonesia Tbk,"South Jakarta, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,Lulusan Baru / Junior,Rekruter terakhir aktif 2 days ago,Apply before 30 Sep,https://www.kalibrr.com/id-ID/c/btpn/jobs/243276/multi-collector-agent,2026-07-10 23:36:04
Developer (.Net/Java/ReactJs),PT Astra Graphia Information Technology,"Kota Jakarta Pusat, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,,Rekruter terakhir aktif a day ago,Apply before 18 Aug,https://www.kalibrr.com/id-ID/c/wfveagezndntcyt/jobs/164211/developer-net-java-reactjs,2026-07-10 23:36:04
Kepala Departemen Product Development at PT Kawasan Industri Terpadu Batang member of PT Danareksa Persero,Danareksa.,,Gaji Tidak Diumumkan,,,,,https://www.kalibrr.com/id-ID/c/danareksa/jobs/268515/kepala-departemen-product-development-at-pt-kawasan-industri-terpadu-batang-member-of-pt-danareksa-persero,2026-07-10 23:36:04
POOL OPERATION MANAGER,PT Berkat Karimar Mandiri (BKM),"Bengkalis, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,,Rekruter terakhir aktif 13 hours ago,Apply before 26 Jul,https://www.kalibrr.com/id-ID/c/pt-berkat-karimar-mandiri-bkm/jobs/269580/pool-operation-manager,2026-07-10 23:36:04
3D Booth Designer,PT SAKTI REKATAMA CIPTA,"South Jakarta, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,,Rekruter terakhir aktif a day ago,Apply before 30 Jul,https://www.kalibrr.com/id-ID/c/pt-sakti-rekatama-cipta/jobs/267887/3d-booth-designer,2026-07-10 23:36:04
DevOps Engineer,GTech Group,"Tangerang, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,,Rekruter terakhir aktif 12 hours ago,Apply before 27 Aug,https://www.kalibrr.com/id-ID/c/pt-gtech-digital-asia/jobs/269177/devops-engineer,2026-07-10 23:36:04
IT Security Engineer,Accord Innovations Indonesia,"Cilegon, Indonesia",Gaji Tidak Diumumkan,Kontrak,Mid-Senior Level Manager,Rekruter terakhir aktif 12 hours ago,Apply before 30 Nov,https://www.kalibrr.com/id-ID/c/accordinnovations/jobs/264410/it-security-engineer-3,2026-07-10 23:36:04
Key Account Manager | MAPCLUB,GTech Group,"Central Jakarta, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,Mid-Senior Level Manager,Rekruter terakhir aktif 12 hours ago,Apply before 6 Sep,https://www.kalibrr.com/id-ID/c/pt-gtech-digital-asia/jobs/269612/key-account-manager-mapclub,2026-07-10 23:36:04
Manager Operasional Busline,Cititrans,"South Jakarta, Indonesia",Gaji Tidak Diumumkan,Penuh waktu,Mid-Senior Level Manager,Rekruter terakhir aktif a day ago,Apply before 16 Aug,https://www.kalibrr.com/id-ID/c/cititrans/jobs/268690/manager-operasional-busline,2026-07-10 23:36:04
