Title,Company,Location,Salary,Job Type,Experience Level,Recruiter Status,Deadline,URL,Scraped At
IT Asset Management Staff,Bussan Auto Finance,"Kota Jakarta Selatan, Indonesia",,Penuh waktu,Min. 300 bulan pengalaman,Rekruter terakhir aktif 2026-07-01T02:32:59.095667+00:00,2026-07-30,https://www.kalibrr.com/id-ID/c/bussan-auto-finance/jobs/267451/it-asset-management-staff,2026-07-12 01:22:10
Partner Growth & Enablement Executive,Odoo,"Tangerang, Indonesia",10750000.0,Penuh waktu,Min. 300 bulan pengalaman,Rekruter terakhir aktif 2026-07-10T06:47:16.446718+00:00,2026-07-30,https://www.kalibrr.com/id-ID/c/odoo/jobs/251100/partner-growth-enablement-executive,2026-07-12 01:22:10
ACCOUNT OFFICER CAB.PURBALINGGA,PT Kresna Reksa Finance,"Purbalingga, Indonesia",,Penuh waktu,Min. 200 bulan pengalaman,Rekruter terakhir aktif 2026-07-10T09:10:00.781190+00:00,2026-12-30,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268965/account-officer-cab-purbalingga,2026-07-12 01:22:10
BRANCH MARKETING MANAGER CAB.CAWANG JAKTIM,PT Kresna Reksa Finance,"East Jakarta, Indonesia",7250000.0,Penuh waktu,Min. 400 bulan pengalaman,Rekruter terakhir aktif 2026-07-10T09:10:00.781190+00:00,2026-12-30,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268903/branch-marketing-manager-cab-cawang-jaktim,2026-07-12 01:22:10
BRANCH MARKETING MANAGER CAB.SURABAYA,PT Kresna Reksa Finance,"Surabaya, Indonesia",7250000.0,Penuh waktu,Min. 400 bulan pengalaman,Rekruter terakhir aktif 2026-07-10T09:10:00.781190+00:00,2026-12-30,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268931/branch-marketing-manager-cab-surabaya,2026-07-12 01:22:10
BRANCH MARKETING MANAGER CAB.BOGOR,PT Kresna Reksa Finance,"Bogor, Indonesia",7250000.0,Penuh waktu,Min. 400 bulan pengalaman,Rekruter terakhir aktif 2026-07-10T09:10:00.781190+00:00,2026-12-30,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268925/branch-marketing-manager-cab-bogor,2026-07-12 01:22:10
BRANCH MARKETING MANAGER CAB.PURBALINGGA,PT Kresna Reksa Finance,"Purbalingga, Indonesia",7250000.0,Penuh waktu,Min. 400 bulan pengalaman,Rekruter terakhir aktif 2026-07-10T09:10:00.781190+00:00,2026-12-30,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268928/branch-marketing-manager-cab-purbalingga,2026-07-12 01:22:10
BRANCH MARKETING MANAGER CAB.KENDARI,PT Kresna Reksa Finance,"Kendari, Indonesia",7250000.0,Penuh waktu,Min. 400 bulan pengalaman,Rekruter terakhir aktif 2026-07-10T09:10:00.781190+00:00,2026-12-30,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268946/branch-marketing-manager-cab-kendari,2026-07-12 01:22:10
ACCOUNT OFFICER CAB.CIKARANG,PT Kresna Reksa Finance,"Bekasi Regency, Indonesia",,Penuh waktu,Min. 200 bulan pengalaman,Rekruter terakhir aktif 2026-07-10T09:10:00.781190+00:00,2026-12-30,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268953/account-officer-cab-cikarang,2026-07-12 01:22:10
ACCOUNT OFFICER CAB.TANGERANG,PT Kresna Reksa Finance,"Tangerang, Indonesia",,Penuh waktu,Min. 200 bulan pengalaman,Rekruter terakhir aktif 2026-07-10T09:10:00.781190+00:00,2026-12-30,https://www.kalibrr.com/id-ID/c/pt-kresna-reksa-finance/jobs/268955/account-officer-cab-tangerang,2026-07-12 01:22:10
Buyer Acquisition,PT. Serasi Autoraya (SERA),"Medan, Indonesia",,Penuh waktu,Min. 200 bulan pengalaman,Rekruter terakhir aktif 2026-07-10T09:33:56.180648+00:00,2026-07-20,https://www.kalibrr.com/id-ID/c/pt-serasi-autoraya-sera-1/jobs/267648/buyer-acquisition-2,2026-07-12 01:22:10
Community Officer Indramayu,BTPN Syariah,"Indramayu, Indonesia",3200000.0,Penuh waktu,Lulusan Baru / Junior,Rekruter terakhir aktif 2026-07-10T11:09:03.687238+00:00,2026-08-09,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269685/community-officer-indramayu,2026-07-12 01:22:10
Community Officer Semarang,BTPN Syariah,"Semarang Kota, Indonesia",4200000.0,Penuh waktu,Lulusan Baru / Junior,Rekruter terakhir aktif 2026-07-10T11:09:03.687238+00:00,2026-08-09,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269699/community-officer-semarang,2026-07-12 01:22:10
Community Officer Lampung,BTPN Syariah,"Bandar Lampung, Indonesia",3500000.0,Penuh waktu,Lulusan Baru / Junior,Rekruter terakhir aktif 2026-07-10T11:09:03.687238+00:00,2026-08-09,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269714/community-officer-lampung,2026-07-12 01:22:10
Community Officer Aceh,BTPN Syariah,"Banda Aceh, Indonesia",4500000.0,Penuh waktu,Lulusan Baru / Junior,Rekruter terakhir aktif 2026-07-10T11:09:03.687238+00:00,2026-08-09,https://www.kalibrr.com/id-ID/c/btpn-syariah/jobs/269718/community-officer-aceh,2026-07-12 01:22:10
